sequence,exercise,camera_id,sequence_status,uncertainty_reasons,vggt_rotation_pairwise_p95_deg,vggt_center_dispersion_p95,refined_rotation_change_deg,refined_center_change_scene_fraction,accepted_observations,post_residual_median_px,post_residual_p90_px,post_residual_p95_px,good_samples,downweighted_samples,rejected_samples,radial_pattern,uncertainty_semantics
barbellrow_0000,barbellrow,cam1,PASS,[],0.1442374080852089,0.0011003820292622899,0.0,0.0,208,2.151853663583176,6.035545222050741,9.099141843223684,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0000,barbellrow,cam2,PASS,[],0.336223204168056,0.008212380959924506,0.5508695988590592,0.00010132014035805217,155,3.833530161192991,10.26415167226698,12.38581702093316,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0000,barbellrow,cam3,PASS,[],0.3621999088789668,0.0029683690236826273,0.2111505146430187,0.0008735533607038074,201,3.0268029906030534,6.029938834248263,8.668805411465375,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0001,barbellrow,cam1,PASS,[],0.15734180930962413,0.001477469510122752,0.0,0.0,152,3.327294691418275,6.267297093562309,7.836826006568731,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0001,barbellrow,cam2,PASS,[],0.982525399263499,0.011274981466733806,0.4510354280968658,0.0014178739422805286,162,3.740489145279624,9.996150853791839,11.207488855987899,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0001,barbellrow,cam3,PASS,[],0.6315908971380914,0.0059535389680133105,0.20915808954270168,0.0008540553742549126,125,3.3045191175299373,8.239282275674642,9.05463140388236,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0002,barbellrow,cam1,PASS,[],0.15534928008744583,0.001117191556438595,0.0,0.0,163,1.9710354817148439,4.634143147137153,5.945749605469066,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0002,barbellrow,cam2,PASS,[],0.3749568124685461,0.009798868187947063,0.5311678987286726,0.0010221570546570433,125,2.741673015618879,11.255113818927892,13.6116414402775,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0002,barbellrow,cam3,PASS,[],0.24209811825164354,0.005910120439778492,0.799351522125273,0.0005931483031542932,174,2.283982179338854,4.992868364662234,7.259682000554308,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0003,barbellrow,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.1329295609071735,0.0026857200577213767,0.0,0.0,108,2.2845504183513548,6.4030786408278,11.721984780661165,7,1,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0003,barbellrow,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.5316077455944443,0.011933457726915425,0.25418249229391626,0.001660953600512161,116,2.5377199363696183,4.239648668612189,4.599367659679711,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
barbellrow_0003,barbellrow,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.6929488459571336,0.006156866803311811,0.48883750160633876,0.0011455207152130545,117,4.198459608205923,8.142056483527456,10.335717437766936,7,1,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0000,benchpress,cam1,PASS,[],0.09301502751404121,0.0011897037654410544,0.0,0.0,332,1.7021098355103175,7.4390764973232,9.695921875877673,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0000,benchpress,cam2,PASS,[],0.4413863777986354,0.007994597310045402,0.0,6.689638416544789e-11,167,5.322103433740959,7.605827313285243,8.86894340525131,7,1,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0000,benchpress,cam3,PASS,[],0.5417188332090366,0.0046651666319252865,0.0,1.6185153895965207e-10,331,2.5367178851765813,10.183846624843527,11.01036797934967,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0001,benchpress,cam1,PASS,[],0.07642770575506946,0.0005567897140177464,0.0,0.0,329,1.338717958066048,6.6720395952042235,7.411319751711805,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0001,benchpress,cam2,PASS,[],0.7220587166427107,0.006878268370606757,0.0007196273663443431,1.0910684161691972e-06,152,5.218047713410407,7.860648382221373,8.871254567227574,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0001,benchpress,cam3,PASS,[],0.33396246063101337,0.0032759193104914255,0.0011396781329512063,1.4138518536691724e-06,358,2.48812516991781,9.53023328819328,11.27640418815194,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0002,benchpress,cam1,PASS,[],0.10409827678340618,0.0012856804944595722,0.0,0.0,302,1.5616547283969489,7.2936316254794225,11.913479288813203,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0002,benchpress,cam2,PASS,[],0.453268341621512,0.008583797888074932,0.5979400068125006,0.00028824710149092384,144,2.08544660316295,5.337642957495595,10.117920014101063,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0002,benchpress,cam3,PASS,[],0.4814471482605629,0.005663899678071107,0.06938493542801678,0.0013635881212038915,280,2.289956137967482,9.086501811488704,13.534352901166667,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0003,benchpress,cam1,PASS,[],0.08565487917334436,0.0005753950590402516,0.0,0.0,295,1.9026981961754208,4.946368221746383,7.804484985123084,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0003,benchpress,cam2,PASS,[],0.6070754121809616,0.006552829957660348,0.20488969302210736,4.2002155292231584e-05,128,1.9670043548606073,5.066816166375992,9.754208394646986,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0003,benchpress,cam3,PASS,[],0.4460970892938648,0.0032261856653007007,0.06581604707009045,0.0003385166763257711,339,1.9784956332476018,6.566734191055446,8.411367123884261,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0004,benchpress,cam1,PASS,[],0.06495741952597463,0.000752193312657509,0.0,0.0,315,2.1059485904517303,6.317708406677669,9.780207397102556,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0004,benchpress,cam2,PASS,[],0.7110609671581081,0.005660557777840726,0.20596821480247315,0.00020094410781684943,143,2.180911870943296,6.939444858722984,9.63119753595472,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
benchpress_0004,benchpress,cam3,PASS,[],0.33357946080880974,0.004337516827678858,0.12426560984518782,0.001047195952185339,344,2.3032775123114746,5.845129132590846,9.497223671067259,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0000,deadlift,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.23158736209183034,0.002419272263725834,0.0,0.0,145,1.7374201689898938,4.004615582645398,4.715596916083672,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0000,deadlift,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.709052693763974,0.013231296575063304,0.23647080903940498,0.0006085888068830624,132,3.167940876718119,6.868928293931488,7.805753964973219,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0000,deadlift,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.8341325715582231,0.022327555538888846,0.6667111211555522,0.0008453871679752922,122,1.9301563496214262,10.530847586954035,12.205651103865451,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0001,deadlift,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.27384019438849944,0.001982508011145466,0.0,0.0,81,3.5739360771087623,7.624323787806881,8.771443223762045,6,2,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0001,deadlift,cam2,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",1.246062863363088,0.016576947686915186,2.4201351456228615,0.001577991846854452,120,3.1032358499756447,9.675549290571448,12.257437679395018,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0001,deadlift,cam3,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.9752961551965335,0.008259071166861023,2.719014986769598,0.019872580103257514,117,3.915239074885874,7.234951212517527,10.25337098223669,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
deadlift_0002,deadlift,cam1,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",0.23969151784660903,0.003330357500135199,0.0,0.0,85,3.168070662928106,5.674550884608105,6.248772336357972,8,0,0,NO_STRONG_RADIAL_PATTERN,"inherits existing sequence acceptance; raw diagnostics, no new threshold"
