sequence,exercise,status,numeric_status,visual_status,reasons,stage1_converged,stage2_converged,points_final,observations_final,post_median_px,post_p90_px,post_p95_px,visual_notes
barbellrow_0003,barbellrow,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,True,34,341,2.756738964749758,5.5617575007870705,8.69574691847437,Physical rig is plausible but sparse support is visibly weaker than the PASS barbellrow sequences.
deadlift_0000,deadlift,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,True,38,399,2.368342022484918,6.7453966386703454,8.909258885672669,No flip or explosion; final sparse background support is below the PASS group.
deadlift_0001,deadlift,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,True,32,318,3.4375384032035208,8.714399161970771,11.484229371928421,Camera layout is plausible but retained background evidence remains limited.
deadlift_0002,deadlift,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,True,26,235,3.537869488745517,7.338597496444611,8.950887873917338,Refined rig remains plausible with sparse accepted static points.
deadlift_0003,deadlift,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,True,24,236,2.237540884399157,8.59820749978407,9.23279958674322,No geometric explosion; limited track support warrants uncertainty retention.
latpulldown_0003,latpulldown,REVIEW,REVIEW,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",True,True,48,469,2.6428161028032457,9.341856062768038,11.452646988955562,Rig remains plausible but the existing tail-residual review is retained.
pushup_0000,pushup,REVIEW,REVIEW,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",True,True,22,217,3.104261072970318,9.092944510813728,10.698680412549345,Dynamic foreground dominates and support is pair-connected rather than direct three-camera.
pushup_0001,pushup,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",True,True,23,237,1.9617177383895463,4.357772399569668,6.60402377099499,Phase 4 pilot REVIEW; plausible rig but sparse pair-connected support.
pushup_0002,pushup,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",True,True,18,164,2.179759850480966,5.237687231562367,6.509882748934175,No global geometry failure; sparse pair-connected background support remains uncertain.
pushup_0003,pushup,FAIL,FAIL,FAIL,"[""OPTIMIZATION_NOT_CONVERGED_OR_NONFINITE"", ""LIMITED_TRACK_SUPPORT""]",True,False,21,183,2.565841257741425,5.198581787564347,7.082472397771182,Visual layout does not explode but the non-converged Stage 2 refined geometry is not approved.
pushup_0004,pushup,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT"", ""NO_THREE_CAMERA_TRACKS""]",True,True,23,206,2.2207917756254343,5.451456349077768,7.374273088746428,Physical rig is plausible while direct three-camera and final track support are limited.
squat_0000,squat,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,True,23,198,3.235647172675014,6.84689072566181,7.562741407396168,Refined camera arrangement is plausible but accepted static background support is limited.
squat_0001,squat,REVIEW,REVIEW,REVIEW,"[""TAIL_REPROJECTION_WORSENED"", ""LIMITED_TRACK_SUPPORT"", ""CAM2_VGGT_OUTLIER_REQUIRES_UNCERTAINTY_PROPAGATION""]",True,True,32,289,3.58012313242407,7.4824789566951795,11.068216618891526,Known cam2 VGGT outlier is robustly suppressed; tail and support uncertainty remain.
squat_0002,squat,REVIEW,REVIEW,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,True,34,323,2.985537372274365,5.924021991241085,7.450939512443157,No flip or explosion; final static point support remains limited.
squat_0003,squat,REVIEW,REVIEW,REVIEW,"[""TAIL_REPROJECTION_WORSENED""]",True,True,48,448,2.6860944854055386,8.504533412070275,10.26533534967766,Refined rig is visually plausible while the unchanged tail-residual review is retained.
